setId,requisitePrefix,requisiteCode,rquisiteTypeId
2,CSCE,1001,1
2,CSCE,1102,2
3,CSCE,1101,2
4,MACT,2131,3
4,CSCE,1101,1
4,CSCE,2203,2
5,CSCE,2202,2
5,MACT,2131,3
6,PHYS,2211,3
6,CSCE,2301,2
7,CSCE,1101,1
7,CSCE,2301,1
8,CSCE,1101,1
8,ECNG,2101,1
9,CSCE,2301,2
10,CSCE,1101,1
11,CSCE,2301,1
11,CSCE,2303,1
11,CSCE,3302,2
12,CSCE,3301,2
13,CSCE,1101,1
14,CSCE,2303,1
11,CSCE,3302,2
14,CSCE,3402,2
14,CSCE,3401,2
15,CSCE,1101,1
15,CSCE,3301,1
16,MACT,2131,1
16,,,5
17,CSCE,3104,1
18,,,4
18,,,6
19,,,6
20,CSCE,4980,1
21,CSCE,1101,1
22,CSCE,1001,1
23,CSCE,1101,1
24,CSCE,1101,1
25,CSCE,1101,1
25,PHYS,2211,1
26,CSCE,1101,1
26,MACT,2123,1
26,MACT,2132,1
27,CSCE,3301,1
27,CSCE,3401,1
27,CSCE,3312,1
27,CSCE,4302,2
28,PHYS,2211,1
28,CSCE,2301,3
29,CSCE,2301,1
29,CSCE,3303,1
30,PHYS,2211,1
30,CSCE,3313,2
31,PHYS,2211,1
31,,,4
32,CSCE,4313,2
33,CSCE,3311,1
34,CSCE,4301,2
35,CSCE,3312,2
36,CSCE,3701,1
37,CSCE,3401,1
38,CSCE,3401,1
39,CSCE,3701,1
39,CSCE,3401,1
40,CSCE,2501,1
41,CSCE,1101,1
41,MACT,2132,1
42,CSCE,2501,1
43,CSCE,2202,1
44,CSCE,1101,1
45,,,4
46,,,5
47,,,6
48,MACT,2123,1
49,CSCE,1001,3
49,MACT,2141,3
49,MACT,2132,3
50,MACT,2131,1
51,PHIL,2010,1
52,PHIL,2010,6
53,MACT,2132,1
53,MACT,2141,1
53,MACT,3211,1
54,MACT,2132,1
54,MACT,2141,1
54,MACT,3224,1
55,MACT,2131,1
55,MACT,3211,1
56,MACT,2131,1
56,MACT,3224,1
57,MACT,2131,1
57,,,6
58,CSCE,2202,1
58,MACT,1122,1
59,MACT,2131,1
59,MACT,2132,1
60,,,6
61,MACT,1121,1
62,MACT,1121,3
63,MACT,1122,1
64,MACT,2123,1
65,MACT,2123,3
66,MACT,3211,1
67,MACT,1121,1
67,PHYS,1012,2
68,PHYS,1011,1
68,PHYS,1012,1
68,MACT,1122,3
68,PHYS,1022,2
69,PHYS,1011,2
70,PHYS,1021,2
71,PHYS,1021,1
71,PHYS,2212,2
72,PHYS,1021,1
72,PHYS,2213,2
73,PHYS,2211,2